date,Agra_NO2_1,Amritsar_NO2_1,Aurangabad_NO2_1,Bengaluru_NO2_6,Bengaluru_NO2_7,Bengaluru_NO2_8,Bengaluru_NO2_9,Bengaluru_NO2_10,Chennai_NO2_1,Chennai_NO2_2,Delhi_NO2_1,Delhi_NO2_2,Delhi_NO2_3,Delhi_NO2_4,Delhi_NO2_5,Delhi_NO2_6,Delhi_NO2_7,Delhi_NO2_8,Delhi_NO2_9,Delhi_NO2_10,Delhi_NO2_11,Delhi_NO2_12,Delhi_NO2_13,Delhi_NO2_14,Delhi_NO2_15,Delhi_NO2_16,Delhi_NO2_36,Faridabad_NO2_1,Ghaziabad_NO2_1,Hyderabad_NO2_1,Hyderabad_NO2_2,Hyderabad_NO2_3,Hyderabad_NO2_4,Jaipur_NO2_1,Jaipur_NO2_2,Jodhpur_NO2_1,Kanpur_NO2_1,Kanpur_NO2_2,Kota_NO2_1,Lucknow_NO2_1,Lucknow_NO2_2,Lucknow_NO2_3,Ludhiana_NO2_1,Nashik_NO2_1,Patna_NO2_1,Thiruvananthapuram_NO2_1,Varanasi_NO2_1,Vijayawada_NO2_1,Visakhapatnam_NO2_1
2018-01-01,50.29,30.43,53.19,,,39.43,4.91,1.17,48.26,48.96,317.88,142.51,265.45,271.83,225.31,264.23,338.07,364.93,196.78,286.64,71.67,282.61,373.6,377.58,316.42,434.49,488.62,110.91,484.17,56.32,56.15,53.23,50.61,84.1,32.75,44.79,221.75,221.75,41.79,167.02,121.03,188.49,155.86,30.28,47.59,8.98,191.58,54.85,23.0
2018-01-02,51.22,30.82,51.09,,,35.23,4.89,1.25,40.28,75.83,359.79,194.66,277.76,216.7,212.03,213.34,293.25,325.26,139.75,251.27,72.27,274.29,380.46,324.37,362.25,349.56,360.76,87.44,389.93,64.01,63.43,76.06,64.1,92.26,32.97,63.88,282.3,282.3,36.55,258.73,175.33,191.16,96.06,37.01,21.71,7.37,154.23,53.66,29.15
2018-01-03,54.0,29.99,52.58,,,28.95,5.12,1.23,43.46,75.45,197.22,152.67,234.42,171.37,160.2,163.06,218.55,191.19,154.7,222.42,69.22,317.91,236.79,253.49,231.58,284.05,288.57,76.83,339.89,73.7,72.61,87.53,71.73,102.29,46.35,69.95,218.04,218.04,39.99,213.13,172.73,278.93,73.89,42.68,88.46,10.5,160.0,75.08,56.69
2018-01-04,50.87,,51.63,,,23.96,4.79,2.04,59.27,209.23,223.66,196.35,346.31,178.71,167.97,159.68,220.73,215.31,189.76,201.49,88.79,360.42,269.81,279.39,195.54,349.5,352.22,68.38,425.67,76.6,67.91,88.14,74.89,90.95,30.49,42.02,354.95,354.95,41.17,239.83,193.08,295.48,116.61,35.47,52.59,17.29,147.29,85.36,84.75
2018-01-05,53.11,,59.25,,,24.43,5.06,7.28,63.01,88.07,224.11,206.43,292.83,183.92,160.62,176.3,235.6,212.85,153.43,226.09,75.19,406.01,278.94,265.56,230.04,273.71,305.94,59.55,363.33,74.92,71.39,66.8,73.61,113.48,23.51,27.97,268.15,268.15,46.01,230.24,195.22,268.56,120.9,31.97,20.2,15.07,107.49,61.65,60.04
2018-01-06,56.36,,60.72,,,31.52,4.87,4.19,68.08,82.56,279.25,199.48,290.97,193.14,172.7,182.93,243.49,223.11,208.87,257.14,90.43,424.77,259.15,264.01,227.92,299.57,324.43,76.77,489.98,71.8,72.2,67.71,69.82,119.2,34.82,18.42,292.52,292.52,43.41,210.3,125.92,238.04,74.74,23.26,72.76,15.95,172.87,59.34,76.09
2018-01-07,59.62,,66.97,,,38.76,4.99,1.51,54.21,69.97,188.91,117.84,224.93,144.0,123.68,144.45,157.4,137.43,136.28,198.13,75.61,269.09,223.67,212.24,189.96,252.12,244.64,71.89,271.75,70.45,68.19,71.02,68.94,82.86,30.19,26.5,305.38,305.38,44.56,302.2,177.44,276.16,68.77,27.93,92.5,9.84,49.18,56.03,72.01
2018-01-08,58.23,,68.44,,,35.5,5.01,1.52,64.0,72.58,181.2,107.21,153.64,144.23,104.81,140.48,131.22,108.63,103.95,211.12,85.59,287.31,157.41,164.21,185.12,194.59,177.4,71.28,211.26,73.7,68.22,71.95,65.79,103.33,43.5,34.05,254.6,254.6,46.56,318.72,210.1,345.09,76.01,40.69,89.86,18.58,87.05,59.99,58.05
2018-01-09,61.1,,66.82,38.25,0.41,28.7,5.32,1.18,47.1,63.48,230.74,150.46,285.3,180.29,149.0,179.06,192.8,223.1,134.85,225.52,96.17,363.55,229.33,246.26,216.15,280.82,373.14,83.1,330.6,77.13,77.33,77.21,77.17,100.69,39.76,43.63,310.15,310.15,40.9,255.67,169.37,272.03,77.26,45.66,42.41,17.92,143.19,51.6,33.28
2018-01-10,63.67,,71.78,35.4,26.53,26.18,5.1,1.07,60.2,63.96,188.06,129.66,194.97,155.22,124.05,139.66,169.25,231.36,110.59,201.14,83.63,326.25,229.91,198.16,174.6,298.14,246.4,73.38,242.4,72.62,71.11,70.19,70.78,117.28,44.32,29.06,322.72,322.72,32.89,256.99,173.36,252.64,85.36,52.32,55.8,15.56,179.16,27.53,67.81
