date,Agra_PM2.5_1,Aurangabad_PM2.5_1,Bengaluru_PM2.5_6,Bengaluru_PM2.5_7,Bengaluru_PM2.5_8,Chennai_PM2.5_1,Chennai_PM2.5_2,Delhi_PM2.5_1,Delhi_PM2.5_2,Delhi_PM2.5_3,Delhi_PM2.5_4,Delhi_PM2.5_5,Delhi_PM2.5_6,Delhi_PM2.5_7,Delhi_PM2.5_8,Delhi_PM2.5_9,Delhi_PM2.5_10,Delhi_PM2.5_11,Delhi_PM2.5_12,Delhi_PM2.5_13,Delhi_PM2.5_14,Delhi_PM2.5_15,Delhi_PM2.5_16,Delhi_PM2.5_36,Faridabad_PM2.5_1,Ghaziabad_PM2.5_1,Hyderabad_PM2.5_1,Hyderabad_PM2.5_2,Hyderabad_PM2.5_3,Hyderabad_PM2.5_4,Jaipur_PM2.5_1,Jaipur_PM2.5_2,Jodhpur_PM2.5_1,Kanpur_PM2.5_1,Kanpur_PM2.5_2,Kota_PM2.5_1,Lucknow_PM2.5_1,Lucknow_PM2.5_2,Lucknow_PM2.5_3,Ludhiana_PM2.5_1,Nashik_PM2.5_1,Patna_PM2.5_1,Thiruvananthapuram_PM2.5_1,Varanasi_PM2.5_1,Vijayawada_PM2.5_1,Visakhapatnam_PM2.5_1
2018-01-01,341.93,101.4,,,39.43,48.26,48.96,317.88,142.51,265.45,271.83,225.31,264.23,338.07,364.93,196.78,286.64,231.8,282.61,373.6,377.58,316.42,434.49,488.62,416.86,484.17,56.32,56.15,53.23,50.61,84.1,32.75,88.43,221.75,221.75,113.28,167.02,121.03,188.49,155.86,76.51,268.29,65.77,191.58,49.09,58.52
2018-01-02,228.99,70.01,,,35.23,40.28,75.83,359.79,194.66,277.76,216.7,212.03,213.34,293.25,325.26,139.75,251.27,232.5,274.29,380.46,324.37,362.25,349.56,360.76,248.82,389.93,64.01,63.43,76.06,64.1,92.26,32.97,114.44,282.3,282.3,90.24,258.73,175.33,191.16,96.06,83.06,228.88,62.75,154.23,40.86,64.59
2018-01-03,277.04,74.13,,,28.95,43.46,75.45,197.22,152.67,234.42,171.37,160.2,163.06,218.55,191.19,154.7,222.42,261.67,317.91,236.79,253.49,231.58,284.05,288.57,178.59,339.89,73.7,72.61,87.53,71.73,102.29,46.35,137.8,218.04,218.04,67.63,213.13,172.73,278.93,73.89,80.61,248.58,57.58,160.0,45.93,73.38
2018-01-04,297.57,59.51,,,23.96,59.27,209.23,223.66,196.35,346.31,178.71,167.97,159.68,220.73,215.31,189.76,201.49,267.89,360.42,269.81,279.39,195.54,349.5,352.22,239.29,425.67,76.6,67.91,88.14,74.89,90.95,30.49,115.22,354.95,354.95,72.72,239.83,193.08,295.48,116.61,63.61,281.95,68.36,147.29,46.0,112.94
2018-01-05,226.9,68.41,,,24.43,63.01,88.07,224.11,206.43,292.83,183.92,160.62,176.3,235.6,212.85,153.43,226.09,275.81,406.01,278.94,265.56,230.04,273.71,305.94,360.12,363.33,74.92,71.39,66.8,73.61,113.48,23.51,113.63,268.15,268.15,71.63,230.24,195.22,268.56,120.9,50.32,245.74,74.49,107.49,72.14,91.33
2018-01-06,251.42,58.51,,,31.52,68.08,82.56,279.25,199.48,290.97,193.14,172.7,182.93,243.49,223.11,208.87,257.14,295.01,424.77,259.15,264.01,227.92,299.57,324.43,227.64,489.98,71.8,72.2,67.71,69.82,119.2,34.82,119.78,292.52,292.52,73.17,210.3,125.92,238.04,74.74,58.65,239.76,84.76,172.87,57.68,106.33
2018-01-07,233.03,53.84,,,38.76,54.21,69.97,188.91,117.84,224.93,144.0,123.68,144.45,157.4,137.43,136.28,198.13,207.14,269.09,223.67,212.24,189.96,252.12,244.64,139.0,271.75,70.45,68.19,71.02,68.94,82.86,30.19,97.51,305.38,305.38,59.31,302.2,177.44,276.16,68.77,40.77,271.72,76.57,49.18,53.94,91.71
2018-01-08,172.08,57.44,,,35.5,64.0,72.58,181.2,107.21,153.64,144.23,104.81,140.48,131.22,108.63,103.95,211.12,167.11,287.31,157.41,164.21,185.12,194.59,177.4,146.58,211.26,73.7,68.22,71.95,65.79,103.33,43.5,63.07,254.6,254.6,64.78,318.72,210.1,345.09,76.01,55.41,320.55,72.44,87.05,56.71,98.15
2018-01-09,220.74,55.56,38.25,0.41,28.7,47.1,63.48,230.74,150.46,285.3,180.29,149.0,179.06,192.8,223.1,134.85,225.52,258.94,363.55,229.33,246.26,216.15,280.82,373.14,201.72,330.6,77.13,77.33,77.21,77.17,100.69,39.76,102.48,310.15,310.15,84.58,255.67,169.37,272.03,77.26,86.08,236.46,82.62,143.19,44.24,65.05
2018-01-10,183.03,48.5,35.4,26.53,26.18,60.2,63.96,188.06,129.66,194.97,155.22,124.05,139.66,169.25,231.36,110.59,201.14,188.23,326.25,229.91,198.16,174.6,298.14,246.4,146.76,242.4,72.62,71.11,70.19,70.78,117.28,44.32,92.05,322.72,322.72,73.29,256.99,173.36,252.64,85.36,96.86,205.46,77.68,179.16,41.75,99.35
